municipio,data,taxa
171780,2022-01-01,28.521281263712154
171790,2022-01-01,30.42102701387199
171800,2022-01-01,31.25
171820,2022-01-01,75.53253151717142
171830,2022-01-01,23.004370830457788
171840,2022-01-01,47.11751662971175
171845,2022-01-01,25.725836089672914
171850,2022-01-01,32.2506334945865
171855,2022-01-01,51.16179918993818
171865,2022-01-01,18.140589569160998
171870,2022-01-01,20.73971655720705
171875,2022-01-01,11.016682404784387
171880,2022-01-01,53.1588632181558
171884,2022-01-01,17.56440281030445
171886,2022-01-01,28.478964401294498
171888,2022-01-01,57.12653527563553
171889,2022-01-01,8.291873963515755
171890,2022-01-01,43.09460291401601
171900,2022-01-01,44.097693351424695
172000,2022-01-01,35.657686212361334
172010,2022-01-01,41.44144144144144
172015,2022-01-01,36.54080389768575
172020,2022-01-01,3.15059861373661
172025,2022-01-01,13.110455588331694
172030,2022-01-01,20.53809817210926
172049,2022-01-01,15.495867768595042
172065,2022-01-01,42.178617274894556
172080,2022-01-01,15.290519877675841
172085,2022-01-01,50.35246727089628
172090,2022-01-01,45.751633986928105
172093,2022-01-01,18.298261665141812
172097,2022-01-01,24.849130280440185
172100,2022-01-01,25.291098034305744
172110,2022-01-01,56.788848735157465
172120,2022-01-01,56.90274008579182
172125,2022-01-01,55.61172901921132
172130,2022-01-01,25.500910746812387
172208,2022-01-01,40.924204962059854
172210,2022-01-01,79.71268395234758
170025,2022-02-01,53.313023610053314
170030,2022-02-01,15.85471317382531
170035,2022-02-01,49.36396430605658
170040,2022-02-01,55.69397625677854
170070,2022-02-01,58.06375162933997
170100,2022-02-01,49.432057214976865
170105,2022-02-01,37.7906976744186
170110,2022-02-01,34.301856335754636
170130,2022-02-01,30.04595263343938
170190,2022-02-01,58.59375
170200,2022-02-01,40.606712050638954
170210,2022-02-01,49.85235827724721
170215,2022-02-01,43.350095370209814
170220,2022-02-01,29.52836637047163
170230,2022-02-01,243.78953865144268
170240,2022-02-01,42.918454935622314
170255,2022-02-01,40.581848845788976
170270,2022-02-01,18.45018450184502
170290,2022-02-01,35.28581510232887
170300,2022-02-01,35.5325074426198
170305,2022-02-01,71.19386637458926
170307,2022-02-01,27.6478094427903
170310,2022-02-01,39.18076580587711
170320,2022-02-01,56.50994575045208
170330,2022-02-01,41.03967168262654
170360,2022-02-01,40.72398190045249
170370,2022-02-01,30.97103297504099
170380,2022-02-01,20.57436776682383
170382,2022-02-01,17.597888253409593
170384,2022-02-01,24.743052912066997
170386,2022-02-01,37.68565728219907
170388,2022-02-01,38.28483920367535
170389,2022-02-01,24.277737314882252
170390,2022-02-01,27.164070988772185
170410,2022-02-01,20.597322348094746
170460,2022-02-01,41.870202372644805
170510,2022-02-01,30.138637733574445
170550,2022-02-01,48.96061269146608
170555,2022-02-01,40.97520999795124
170560,2022-02-01,66.68313163744133
170600,2022-02-01,38.50866444950114
170610,2022-02-01,18.083182640144663
170625,2022-02-01,69.04487917146145
170650,2022-02-01,52.47257115598664
170700,2022-02-01,51.57160005334993
170710,2022-02-01,75.19863791146425
170720,2022-02-01,18.317598985486825
170730,2022-02-01,51.56854318865492
170740,2022-02-01,19.9203187250996
170755,2022-02-01,26.364355391510678
170765,2022-02-01,45.994633959371406
170770,2022-02-01,28.37040399455288
170820,2022-02-01,43.400423154125754
170825,2022-02-01,55.12679162072767
170830,2022-02-01,31.28054740957967
170900,2022-02-01,25.7673361121637
170930,2022-02-01,41.10105580693816
170950,2022-02-01,39.34757020346394
170980,2022-02-01,14.47178002894356
171050,2022-02-01,38.968019349637196
171070,2022-02-01,10.474860335195531
171090,2022-02-01,36.66841278156103
171110,2022-02-01,41.476565740356705
171150,2022-02-01,28.33590932509016
171180,2022-02-01,32.13957759412305
171190,2022-02-01,29.801095016979694
171195,2022-02-01,31.46067415730337
171200,2022-02-01,33.82533825338253
171215,2022-02-01,40.46535154274153
171240,2022-02-01,16.402405686167302
171245,2022-02-01,21.88183807439825
171250,2022-02-01,28.089887640449437
171270,2022-02-01,35.51136363636363
171280,2022-02-01,17.341040462427745
171320,2022-02-01,73.63854321269551
171330,2022-02-01,44.27064118645318
171360,2022-02-01,32.31419338801889
171370,2022-02-01,51.282051282051285
171380,2022-02-01,19.348117279357048
171395,2022-02-01,32.98515667949423
171420,2022-02-01,64.95615459564794
171430,2022-02-01,36.74540682414698
171488,2022-02-01,38.45510784149808
171500,2022-02-01,34.91620111731844
171510,2022-02-01,53.84787973973525
171515,2022-02-01,52.44755244755245
171525,2022-02-01,65.69343065693431
171550,2022-02-01,8.80281690140845
171570,2022-02-01,30.694668820678512
171575,2022-02-01,70.50528789659225
171610,2022-02-01,37.944248253061836
171620,2022-02-01,48.74784935958707
171630,2022-02-01,113.94240729231406
171650,2022-02-01,44.441309255079005
171660,2022-02-01,31.1999325406864
171665,2022-02-01,34.38291711907347
171670,2022-02-01,30.73518564052127
171700,2022-02-01,49.762497172585384
171720,2022-02-01,36.999663639421456
171750,2022-02-01,77.66743060860708
171780,2022-02-01,21.93944712593243
171790,2022-02-01,29.204185933317106
171800,2022-02-01,28.125
171820,2022-02-01,61.04187798869729
171830,2022-02-01,32.2061191626409
171840,2022-02-01,27.71618625277162
171845,2022-02-01,36.751194413818446
171850,2022-02-01,29.94701681640175
171855,2022-02-01,31.97612449371136
171865,2022-02-01,49.88662131519274
171870,2022-02-01,34.566194262011756
171875,2022-02-01,40.919106074913444
171880,2022-02-01,53.1588632181558
171884,2022-02-01,55.62060889929742
171886,2022-02-01,33.65695792880259
171888,2022-02-01,48.5575549842902
171889,2022-02-01,33.16749585406302
171890,2022-02-01,67.72009029345372
171900,2022-02-01,88.19538670284939
172000,2022-02-01,31.695721077654518
172010,2022-02-01,27.027027027027028
172015,2022-02-01,48.721071863580995
172020,2022-02-01,4.725897920604915
172025,2022-02-01,16.38806948541462
172030,2022-02-01,18.484288354898336
172049,2022-02-01,38.739669421487605
172065,2022-02-01,45.84632312488539
172080,2022-02-01,26.212319790301443
172085,2022-02-01,80.56394763343404
172090,2022-02-01,38.027332144979205
172093,2022-02-01,32.02195791399817
172097,2022-02-01,10.649627263045794
172100,2022-02-01,31.019156128709152
172110,2022-02-01,49.0449148167269
172120,2022-02-01,48.14847238028539
172125,2022-02-01,50.55611729019211
172130,2022-02-01,14.571948998178506
172208,2022-02-01,28.13539091141615
172210,2022-02-01,65.69726699369306
170025,2022-03-01,34.27265803503427
170030,2022-03-01,24.502738541366387
170035,2022-03-01,55.0598063413708
170040,2022-03-01,38.106404807269534
170070,2022-03-01,69.91349685981751
170100,2022-03-01,70.4669751787968
170105,2022-03-01,37.7906976744186
